id,user_id,car_id,title,description,status,priority,due_date,created_at,resolved_at
1,2,1,Fix Oil Leaks,Fix all the oil leaks in the engine.,open,low,,2025-07-09T23:02:21.678657,
2,2,1,Install New Clutch,Clutch is shot.,open,high,,2025-07-09T23:02:21.678968,
3,2,2,Go Through Carburator,Go through it again to see if it is clean,open,medium,,2025-07-09T23:02:21.678989,
4,2,2,Figure Out Noise,Look into the horrible noise at RPM.,open,high,,2025-07-09T23:02:21.679002,
5,2,3,Fix the compression issue,,open,high,,2025-07-09T23:02:21.679015,
6,2,3,Do a compression check,Test the compression in every cylinder.,open,high,2025-07-08T07:00:00,2025-07-09T23:02:21.679039,
7,2,4,Fix The Speedometer,Fix the speedometer issues.,open,low,,2025-07-09T23:02:21.679051,
8,2,4,Fix the transmission leak,Small transmission leak.,open,low,,2025-07-09T23:02:21.679062,
9,2,5,Fix Major Engine Oil Leak,Fix the major engine oil leak at the rear of the motor.,open,high,,2025-07-09T23:02:21.679073,
10,2,5,Fix The Transmission Leak,Fix the tranni oil leak,open,low,,2025-07-09T23:02:21.679084,
11,2,6,Fix The Engine Oil Leak,Fix the rather large engine oil leak.,open,medium,,2025-07-09T23:02:21.679095,
12,2,8,Fix Everything,Needs everything.,open,high,,2025-07-09T23:02:21.679105,
13,2,9,Install New Battery,,open,high,,2025-07-09T23:02:21.679116,
14,2,13,Fix Rear AC,Fix or replace rear AC unit.,open,high,,2025-07-09T23:02:21.679128,
15,2,13,Fix Stair Cover,Stair Cover is dead.,open,high,,2025-07-09T23:02:21.679138,
16,2,13,Fix Window Shade,"Drivers side, couch window shade is dead.",open,medium,,2025-07-09T23:02:21.679149,
17,2,13,Replace House Batteries,House Batteries are showing signs of end of life.,open,medium,,2025-07-09T23:02:21.679160,
18,1,14,Test Todo,Test todo for multi-tenancy,open,high,,2025-07-10 01:14:59.599097,
19,2,7,Schedule Annual - Minor Service with Mark,Need to get basic annual service done.,open,medium,2025-07-31 00:00:00.000000,2025-07-10 04:23:30.200434,
20,2,13,Replace Steps,"Steps are wore out.  Keep lubing for now, but will need to be replaced.",open,low,,2025-07-10 15:23:43.290590,
